verdict (correct|wrong-date|wrong-sense|not-a-concept|ambiguous),note,concept,coinage,crystallization,author_groups,decline,fate,peak_year,total_papers,example_papers
,,feature quality,2016-08-30,2023,20,,persisted,2025,62,"arxiv.org/abs/2305.03378, arxiv.org/abs/2310.17504"
,,atm,2014-03-03,2022,15,,persisted,2025,38,"arxiv.org/abs/2210.05844, arxiv.org/abs/2210.10667"
,,llama-2 model,2023-05-24,2023,62,,persisted,2024,76,"arxiv.org/abs/2309.04704, arxiv.org/abs/2309.08163"
,,dynamic selection,2017-06-15,2024,21,,persisted,2024,32,"arxiv.org/abs/2405.11157, arxiv.org/abs/2403.10674"
,,google maps,2014-04-24,2019,10,,persisted,2022,40,"arxiv.org/abs/1905.01752, arxiv.org/abs/1905.02200"
,,syntactic generalization,2018-08-31,2020,6,2024,crystallized_then_declined,2021,32,"arxiv.org/abs/2001.03632, arxiv.org/abs/2011.02417"
,,adversarial noise,2014-12-11,2018,23,,persisted,2024,189,"arxiv.org/abs/1812.09431, arxiv.org/abs/1812.10061"
,,slavic,2015-04-14,2023,14,,persisted,2024,45,"arxiv.org/abs/2304.01922, arxiv.org/abs/2304.05336"
,,future motion,2015-05-02,2017,12,,persisted,2024,152,"arxiv.org/abs/1712.04109, arxiv.org/abs/1702.04125"
,,interpretable representation,2014-12-11,2017,16,,persisted,2025,119,"arxiv.org/abs/1703.00955, arxiv.org/abs/1706.06177"
,,misinterpretation,2011-03-11,2020,10,,persisted,2025,123,"arxiv.org/abs/2004.11093, arxiv.org/abs/2001.06674"
,,low-light,2011-08-04,2016,12,,persisted,2025,947,"arxiv.org/abs/1611.06638, arxiv.org/abs/1604.00990"
,,temporal variation,2014-10-15,2018,13,,persisted,2025,134,"arxiv.org/abs/1812.01233, arxiv.org/abs/1801.10443"
,,multi-camera system,2004-08-04,2016,13,2018,crystallized_then_declined,2023,89,"arxiv.org/abs/1610.07336, arxiv.org/abs/1602.03468"
,,in-context capability,2023-05-24,2024,14,,persisted,2024,15,"arxiv.org/abs/2412.03782, arxiv.org/abs/2403.05018"
,,vq,2004-08-21,2022,32,,persisted,2025,113,"arxiv.org/abs/2208.01818, arxiv.org/abs/2208.03526"
,,logistic regression model,2016-03-25,2019,13,,persisted,2025,76,"arxiv.org/abs/1911.09863, arxiv.org/abs/1904.03513"
,,detection map,2015-05-08,2021,11,,persisted,2025,43,"arxiv.org/abs/2105.06775, arxiv.org/abs/2106.01401"
,,audio token,2020-10-25,2024,25,,persisted,2025,36,"arxiv.org/abs/2409.12319, arxiv.org/abs/2409.19132"
,,abs,2017-06-22,2024,18,,persisted,2024,34,"arxiv.org/abs/2401.11143, arxiv.org/abs/2401.17583"
,,standardization,2003-07-19,2017,16,,persisted,2025,393,"arxiv.org/abs/1711.06606, arxiv.org/abs/1712.01432"
,,low-resolution dataset,2019-08-26,2024,11,,persisted,2025,18,"arxiv.org/abs/2406.12847, arxiv.org/abs/2410.06067"
,,score-base diffusion,2021-10-08,2023,31,,persisted,2024,62,"arxiv.org/abs/2309.01949, arxiv.org/abs/2309.10450"
,,normal estimator,2019-04-15,2023,10,,persisted,2024,22,"arxiv.org/abs/2304.04884, arxiv.org/abs/2304.12031"
,,illumination effect,2016-07-20,2022,13,,persisted,2025,52,"arxiv.org/abs/2210.04655, arxiv.org/abs/2207.00974"
,,natural accuracy,2020-02-26,2021,13,2023,crystallized_then_declined,2021,24,"arxiv.org/abs/2112.15188, arxiv.org/abs/2103.13612"
,,denoising diffusion,2021-04-12,2021,29,,persisted,2023,359,"arxiv.org/abs/2112.03530, arxiv.org/abs/2111.05826"
,,time adaptation,2021-10-06,2023,22,,persisted,2024,42,"arxiv.org/abs/2306.04344, arxiv.org/abs/2306.14608"
,,input-output pair,2012-06-18,2020,9,,persisted,2024,76,"arxiv.org/abs/2006.06500, arxiv.org/abs/2009.14798"
,,iterative model,2015-03-12,2024,18,,persisted,2025,31,"arxiv.org/abs/2409.03198, arxiv.org/abs/2411.19835"
,,prompt type,2022-12-09,2023,28,,persisted,2024,48,"arxiv.org/abs/2309.14859, arxiv.org/abs/2308.01263"
,,hebrew,1997-09-23,2018,13,,persisted,2024,116,"arxiv.org/abs/1803.11138, arxiv.org/abs/1807.02974"
,,willis,2020-07-11,2024,7,,persisted,2025,19,"arxiv.org/abs/2407.05842, arxiv.org/abs/2403.11001"
,,recurrent neural network language model,2015-02-02,2018,16,2020,crystallized_then_declined,2018,38,"arxiv.org/abs/1812.09809, arxiv.org/abs/1801.00841"
,,depth supervision,2018-05-10,2020,13,,persisted,2024,96,"arxiv.org/abs/2002.03723, arxiv.org/abs/2012.15072"
,,parcellation,2010-04-21,2017,10,,persisted,2025,91,"arxiv.org/abs/1712.00543, arxiv.org/abs/1705.10545"
,,element-wise multiplication,2016-06-05,2022,9,,persisted,2024,37,"arxiv.org/abs/2205.15025, arxiv.org/abs/2201.05020"
,,semantic frame,1996-04-11,2018,15,,persisted,2021,84,"arxiv.org/abs/1812.08039, arxiv.org/abs/1812.09193"
,,neurodegeneration,2015-08-24,2024,28,,persisted,2024,45,"arxiv.org/abs/2401.03922, arxiv.org/abs/2406.02830"
,,multi-camera 3d object detection,2020-02-19,2022,9,2024,crystallized_then_declined,2023,24,"arxiv.org/abs/2208.10035, arxiv.org/abs/2206.15398"
,,pathology image analysis,2017-05-07,2024,16,,persisted,2024,36,"arxiv.org/abs/2406.18249, arxiv.org/abs/2407.00596"
,,gpt-4v(ision,2023-09-29,2023,27,,persisted,2023,39,"arxiv.org/abs/2309.17421, arxiv.org/abs/2310.08541"
,,rank-1 accuracy,2016-11-16,2017,15,,persisted,2019,123,"arxiv.org/abs/1711.08184, arxiv.org/abs/1711.09349"
,,class weight,2015-05-21,2021,13,,persisted,2024,44,"arxiv.org/abs/2112.07106, arxiv.org/abs/2105.00131"
,,internal mechanism,2006-06-05,2022,22,,persisted,2025,194,"arxiv.org/abs/2206.00701, arxiv.org/abs/2206.01512"
,,rs dataset,2018-06-15,2023,17,,persisted,2024,33,"arxiv.org/abs/2307.15266, arxiv.org/abs/2307.16865"
,,group activity,2012-08-21,2020,17,,persisted,2024,87,"arxiv.org/abs/2004.10299, arxiv.org/abs/2012.13148"
,,tuning datum,2020-10-06,2023,42,,persisted,2024,69,"arxiv.org/abs/2309.01669, arxiv.org/abs/2310.00566"
,,direct fusion,2019-03-04,2024,17,,persisted,2024,28,"arxiv.org/abs/2404.00973, arxiv.org/abs/2401.04325"
,,reflectance map,2011-05-18,2023,11,,persisted,2023,32,"arxiv.org/abs/2308.13164, arxiv.org/abs/2312.04465"
,,encoder-decoder model,2015-06-12,2016,38,,persisted,2024,538,"arxiv.org/abs/1611.03382, arxiv.org/abs/1611.07897"
,,generation stage,2014-06-06,2021,14,,persisted,2024,110,"arxiv.org/abs/2112.12371, arxiv.org/abs/2108.04325"
,,dialog datum,2015-06-23,2020,11,2024,crystallized_then_declined,2021,44,"arxiv.org/abs/2004.11054, arxiv.org/abs/2009.08115"
,,wav2vec,2019-04-11,2020,30,,persisted,2022,198,"arxiv.org/abs/2010.13826, arxiv.org/abs/2011.09212"
,,bone length,2015-12-13,2024,13,,persisted,2024,34,"arxiv.org/abs/2405.19833, arxiv.org/abs/2410.15582"
,,input space,2005-10-03,2014,11,,persisted,2024,378,"arxiv.org/abs/1412.0062, arxiv.org/abs/1411.0161"
,,sst,2013-01-07,2018,10,,persisted,2025,84,"arxiv.org/abs/1801.05453, arxiv.org/abs/1803.09474"
,,benchmark code,2020-11-08,2024,16,,persisted,2025,22,"arxiv.org/abs/2406.00783, arxiv.org/abs/2410.07095"
,,correction module,2018-03-23,2020,11,,persisted,2025,78,"arxiv.org/abs/2012.07086, arxiv.org/abs/2006.10380"
,,depth estimation accuracy,2018-04-17,2024,19,,persisted,2024,38,"arxiv.org/abs/2409.03336, arxiv.org/abs/2411.00600"
,,two-stage alignment,2017-02-25,2024,15,,persisted,2025,20,"arxiv.org/abs/2406.15178, arxiv.org/abs/2409.11969"
,,der,2013-09-05,2019,9,,persisted,2025,91,"arxiv.org/abs/1907.05337, arxiv.org/abs/1905.01965"
,,guided attention,2018-01-24,2021,20,,persisted,2021,67,"arxiv.org/abs/2104.14374, arxiv.org/abs/2109.03223"
,,intricate spatial relationship,2023-07-31,2024,11,,persisted,2024,14,"arxiv.org/abs/2407.16647, arxiv.org/abs/2407.21666"
,,pdf file,2015-02-17,2023,16,,persisted,2023,28,"arxiv.org/abs/2310.01206, arxiv.org/abs/2305.04833"
,,image-to-image translation model,2018-05-08,2019,19,,persisted,2020,62,"arxiv.org/abs/1905.02185, arxiv.org/abs/1905.12043"
,,pyramid module,2017-06-30,2020,14,,persisted,2021,39,"arxiv.org/abs/2002.05928, arxiv.org/abs/2008.12470"
,,low-rank subspace,2010-09-20,2024,27,,persisted,2025,53,"arxiv.org/abs/2406.09519, arxiv.org/abs/2406.06564"
,,demosaicing,2009-05-18,2019,12,,persisted,2019,73,"arxiv.org/abs/1911.08098, arxiv.org/abs/1912.07308"
,,code retrieval,2018-03-26,2024,16,,persisted,2025,27,"arxiv.org/abs/2407.02883, arxiv.org/abs/2410.16229"
,,lidar point cloud,2016-03-02,2016,12,,persisted,2025,724,"arxiv.org/abs/1610.07324, arxiv.org/abs/1611.07759"
,,ec,2013-09-20,2022,19,,persisted,2025,66,"arxiv.org/abs/2207.07025, arxiv.org/abs/2210.02284"
,,medical large language,2023-10-13,2024,37,,persisted,2025,45,"arxiv.org/abs/2406.10459, arxiv.org/abs/2407.10990"
,,generalizable representation,2018-09-15,2020,13,,persisted,2025,116,"arxiv.org/abs/2012.15409, arxiv.org/abs/2011.11108"
,,lotus,2017-06-03,2024,10,,persisted,2024,20,"arxiv.org/abs/2403.17188, arxiv.org/abs/2409.18124"
,,unet++,2018-07-18,2021,25,,persisted,2025,87,"arxiv.org/abs/2103.07985, arxiv.org/abs/2103.11713"
,,feature importance analysis,2019-01-11,2024,16,,persisted,2025,23,"arxiv.org/abs/2402.16182, arxiv.org/abs/2409.15027"
,,flow ordinary differential equation,2022-06-06,2024,11,,persisted,2024,16,"arxiv.org/abs/2403.17004, arxiv.org/abs/2403.18035"
,,3d reconstruction pipeline,2014-10-03,2021,10,,persisted,2025,36,"arxiv.org/abs/2106.11725, arxiv.org/abs/2107.03068"
,,single exposure,2016-08-16,2023,12,,persisted,2025,42,"arxiv.org/abs/2307.08106, arxiv.org/abs/2309.03827"
,,imagenet weight,2018-05-17,2021,10,,persisted,2022,33,"arxiv.org/abs/2110.15558, arxiv.org/abs/2112.00317"
,,dga,2018-11-21,2024,11,,persisted,2025,21,"arxiv.org/abs/2407.10749, arxiv.org/abs/2410.02498"
,,3d gan,2017-06-16,2022,27,,persisted,2023,86,"arxiv.org/abs/2210.07301, arxiv.org/abs/2203.13441"
,,image type,2008-02-24,2019,12,,persisted,2025,102,"arxiv.org/abs/1908.08074, arxiv.org/abs/1903.10139"
,,hour-long video,2020-01-29,2024,30,,persisted,2025,36,"arxiv.org/abs/2410.17434, arxiv.org/abs/2405.08944"
,,covid-19 outbreak,2020-04-16,2020,22,2022,crystallized_then_declined,2020,27,"arxiv.org/abs/2008.12854, arxiv.org/abs/2009.00984"
,,fine-tuning,1994-07-29,2014,23,,persisted,2025,14680,"arxiv.org/abs/1410.0736, arxiv.org/abs/1411.4958"
,,extraction scheme,2015-02-01,2024,10,,persisted,2024,28,"arxiv.org/abs/2402.02956, arxiv.org/abs/2411.05738"
,,3d reconstruction framework,2018-01-06,2024,22,,persisted,2024,30,"arxiv.org/abs/2405.00340, arxiv.org/abs/2412.02249"
,,height estimation,2016-10-09,2023,19,,persisted,2024,61,"arxiv.org/abs/2307.02574, arxiv.org/abs/2305.08232"
,,orthogonal decomposition,2014-03-13,2024,11,,persisted,2024,24,"arxiv.org/abs/2403.03421, arxiv.org/abs/2405.21050"
,,reference distribution,2011-03-24,2024,12,,persisted,2024,28,"arxiv.org/abs/2405.02700, arxiv.org/abs/2412.03015"
,,t-sne visualization,2017-11-12,2024,16,,persisted,2025,24,"arxiv.org/abs/2401.09407, arxiv.org/abs/2410.10220"
,,underwater video,2014-11-08,2024,15,,persisted,2025,31,"arxiv.org/abs/2406.14973, arxiv.org/abs/2403.03461"
,,efficiency-performance trade-off,2022-04-07,2024,18,,persisted,2025,23,"arxiv.org/abs/2407.11717, arxiv.org/abs/2403.09626"
,,pixel-space diffusion,2023-01-02,2024,13,,persisted,2025,17,"arxiv.org/abs/2402.05375, arxiv.org/abs/2408.11001"
,,encoder-base method,2019-08-15,2024,9,,persisted,2024,15,"arxiv.org/abs/2405.01356, arxiv.org/abs/2405.00794"
,,cooperative perception,2019-05-13,2022,16,,persisted,2025,93,"arxiv.org/abs/2205.02222, arxiv.org/abs/2203.06319"
,,mixed-language,2014-12-14,2024,23,,persisted,2025,46,"arxiv.org/abs/2407.17160, arxiv.org/abs/2401.16895"
,,contrastive sample,2018-02-10,2021,14,,persisted,2022,39,"arxiv.org/abs/2109.15107, arxiv.org/abs/2110.06853"
,,digital device,2014-02-20,2023,14,,persisted,2024,35,"arxiv.org/abs/2304.01805, arxiv.org/abs/2307.10088"
,,fim,2020-05-11,2022,15,,persisted,2025,36,"arxiv.org/abs/2206.00947, arxiv.org/abs/2210.05916"
,,landmark localization,2014-03-06,2015,11,,persisted,2019,153,"arxiv.org/abs/1502.00852, arxiv.org/abs/1505.06606"
,,temporal reasoning task,2020-10-24,2024,17,,persisted,2025,19,"arxiv.org/abs/2406.14192, arxiv.org/abs/2406.09170"
,,transferable adversarial example,2018-04-14,2022,17,,persisted,2025,55,"arxiv.org/abs/2207.05382, arxiv.org/abs/2203.05151"
,,emotion dataset,2016-03-20,2019,14,,persisted,2025,88,"arxiv.org/abs/1901.04831, arxiv.org/abs/1911.09784"
,,fmcw,2017-11-25,2022,13,,persisted,2025,41,"arxiv.org/abs/2210.04236, arxiv.org/abs/2203.00959"
,,cross-modal reasoning,2019-04-04,2023,11,,persisted,2025,87,"arxiv.org/abs/2309.01017, arxiv.org/abs/2309.03473"
,,objective evaluation metric,2016-10-02,2024,13,,persisted,2024,22,"arxiv.org/abs/2407.14041, arxiv.org/abs/2405.11498"
,,mt evaluation,2016-05-15,2021,10,,persisted,2025,65,"arxiv.org/abs/2112.13833, arxiv.org/abs/2109.06352"
,,condition generation,2020-04-22,2024,29,,persisted,2025,41,"arxiv.org/abs/2406.05871, arxiv.org/abs/2407.09059"
,,multimodal prompt,2022-07-29,2022,32,,persisted,2024,134,"arxiv.org/abs/2207.14571, arxiv.org/abs/2209.13360"
,,image geo-localization,2015-10-13,2024,13,,persisted,2025,36,"arxiv.org/abs/2408.05475, arxiv.org/abs/2403.19584"
,,pgd,2017-01-24,2019,46,,persisted,2023,209,"arxiv.org/abs/1911.07198, arxiv.org/abs/1911.07989"
,,pnp,2014-05-24,2018,25,,persisted,2023,206,"arxiv.org/abs/1801.00605, arxiv.org/abs/1812.01387"
,,h.266,2019-05-27,2020,7,,persisted,2025,45,"arxiv.org/abs/2003.06812, arxiv.org/abs/2005.07896"
,,inherent reasoning,2021-06-22,2024,25,,persisted,2025,28,"arxiv.org/abs/2405.17418, arxiv.org/abs/2406.11514"
,,task-specific constraint,2014-06-28,2024,10,,persisted,2025,15,"arxiv.org/abs/2407.07660, arxiv.org/abs/2401.08930"
,,convolutional block attention,2018-07-17,2021,20,,persisted,2025,92,"arxiv.org/abs/2108.11539, arxiv.org/abs/2111.04911"
,,instance discrimination,2020-03-18,2020,32,,persisted,2022,114,"arxiv.org/abs/2004.11992, arxiv.org/abs/2004.12943"
,,grounded language,2016-03-26,2020,8,2023,crystallized_then_declined,2022,32,"arxiv.org/abs/2004.09218, arxiv.org/abs/2006.02174"
,,spatio-temporal analysis,2016-08-12,2024,14,,persisted,2025,26,"arxiv.org/abs/2408.12443, arxiv.org/abs/2409.00020"
,,scientific imaging,2015-12-23,2024,15,,persisted,2025,27,"arxiv.org/abs/2407.04920, arxiv.org/abs/2404.00510"
,,local color,2011-04-19,2023,10,,persisted,2024,32,"arxiv.org/abs/2307.09582, arxiv.org/abs/2305.04763"
,,cnn method,2014-05-14,2016,15,,persisted,2019,80,"arxiv.org/abs/1611.08402, arxiv.org/abs/1612.00606"
,,multilingual data,2014-05-04,2024,14,,persisted,2025,21,"arxiv.org/abs/2407.15415, arxiv.org/abs/2401.14526"
,,slice,2007-11-13,2014,12,,persisted,2025,1366,"arxiv.org/abs/1410.3910, arxiv.org/abs/1410.4521"
,,safety metric,2022-01-27,2024,20,,persisted,2025,29,"arxiv.org/abs/2401.01128, arxiv.org/abs/2407.21792"
,,isp,2017-01-23,2019,12,,persisted,2025,155,"arxiv.org/abs/1911.05931, arxiv.org/abs/1911.07954"
,,closure,2009-06-12,2015,10,,persisted,2025,321,"arxiv.org/abs/1504.05241, arxiv.org/abs/1505.03352"
,,image distribution,2013-04-09,2018,18,,persisted,2025,176,"arxiv.org/abs/1804.04314, arxiv.org/abs/1802.02290"
,,volunteer,1997-06-30,2017,15,,persisted,2025,241,"arxiv.org/abs/1711.10662, arxiv.org/abs/1711.11386"
,,merging framework,2023-12-07,2024,19,,persisted,2025,24,"arxiv.org/abs/2406.12208, arxiv.org/abs/2403.01753"
,,depth distribution,2019-06-20,2022,23,,persisted,2025,59,"arxiv.org/abs/2203.04538, arxiv.org/abs/2203.15132"
,,rendering efficiency,2021-12-08,2024,14,,persisted,2025,18,"arxiv.org/abs/2401.04099, arxiv.org/abs/2408.06286"
,,mixing strategy,2020-10-02,2023,13,,persisted,2025,29,"arxiv.org/abs/2307.10350, arxiv.org/abs/2309.16298"
,,event reasoning,2022-11-10,2024,15,,persisted,2025,20,"arxiv.org/abs/2404.17513, arxiv.org/abs/2402.13566"
,,radiance field method,2021-12-02,2023,18,,persisted,2024,35,"arxiv.org/abs/2310.03375, arxiv.org/abs/2306.04166"
,,object label,2013-09-16,2017,15,,persisted,2024,119,"arxiv.org/abs/1706.06629, arxiv.org/abs/1708.02001"
,,farming,2017-09-11,2018,13,,persisted,2025,165,"arxiv.org/abs/1811.08404, arxiv.org/abs/1812.05415"
,,hits@1,2018-11-11,2021,11,,persisted,2023,41,"arxiv.org/abs/2112.04871, arxiv.org/abs/2104.13173"
,,robustness score,2021-02-07,2024,12,,persisted,2025,15,"arxiv.org/abs/2404.14357, arxiv.org/abs/2409.03901"
,,noise scheduler,2023-09-21,2024,10,,persisted,2025,11,"arxiv.org/abs/2405.14802, arxiv.org/abs/2412.05101"
,,eigendecomposition,2010-05-16,2019,12,2021,crystallized_then_declined,2019,54,"arxiv.org/abs/1901.06112, arxiv.org/abs/1906.04509"
,,llm-base evaluation,2023-04-09,2023,40,,persisted,2025,104,"arxiv.org/abs/2305.15067, arxiv.org/abs/2309.12444"
,,tinyml,2020-07-01,2022,14,,persisted,2024,43,"arxiv.org/abs/2204.08702, arxiv.org/abs/2204.10546"
,,shape recovery,2011-11-05,2020,14,,persisted,2022,53,"arxiv.org/abs/2003.04894, arxiv.org/abs/2004.01661"
,,focal plane,2012-07-13,2024,15,,persisted,2025,44,"arxiv.org/abs/2404.19108, arxiv.org/abs/2403.16994"
,,retinopathy classification,2016-12-12,2022,11,,persisted,2022,30,"arxiv.org/abs/2210.05946, arxiv.org/abs/2208.11563"
,,i2i translation,2019-04-18,2020,16,,persisted,2021,50,"arxiv.org/abs/2003.00187, arxiv.org/abs/2010.05713"
,,medical model,2020-05-21,2023,26,,persisted,2024,49,"arxiv.org/abs/2305.17421, arxiv.org/abs/2311.02189"
,,syntactic constraint,1995-04-15,2024,14,,persisted,2025,30,"arxiv.org/abs/2407.04593, arxiv.org/abs/2407.10347"
,,typicality,1998-01-26,2019,10,2022,crystallized_then_declined,2025,54,"arxiv.org/abs/1906.03365, arxiv.org/abs/1912.02523"
,,training context,2020-04-29,2024,18,,persisted,2025,28,"arxiv.org/abs/2402.06284, arxiv.org/abs/2402.16050"
,,annotated datum,1997-06-11,2016,39,,persisted,2025,1207,"arxiv.org/abs/1610.07844, arxiv.org/abs/1612.00148"
,,control study,2017-11-28,2023,12,,persisted,2025,58,"arxiv.org/abs/2312.05662, arxiv.org/abs/2310.12150"
,,data-drive model,2013-09-30,2018,23,,persisted,2024,148,"arxiv.org/abs/1808.00130, arxiv.org/abs/1810.11710"
,,control task,2015-11-23,2018,18,,persisted,2025,156,"arxiv.org/abs/1804.03424, arxiv.org/abs/1802.00265"
,,sr3d,2021-03-01,2022,9,,persisted,2025,24,"arxiv.org/abs/2207.01821, arxiv.org/abs/2204.06272"
,,translation module,1997-06-18,2020,12,2024,crystallized_then_declined,2023,34,"arxiv.org/abs/2012.12570, arxiv.org/abs/2005.04668"
,,structured knowledge graph,2016-02-10,2024,30,,persisted,2025,47,"arxiv.org/abs/2401.07105, arxiv.org/abs/2408.07453"
,,linguistic pattern,1995-05-09,2017,10,,persisted,2025,167,"arxiv.org/abs/1712.02016, arxiv.org/abs/1712.08291"
,,backbone llm,2023-04-17,2023,24,,persisted,2025,61,"arxiv.org/abs/2304.11060, arxiv.org/abs/2305.06569"
,,ranking task,2016-07-19,2019,10,,persisted,2025,44,"arxiv.org/abs/1906.02374, arxiv.org/abs/1904.03011"
,,mmlu benchmark,2022-03-29,2023,13,,persisted,2025,31,"arxiv.org/abs/2310.15389, arxiv.org/abs/2309.10706"
,,nlu system,2018-04-20,2021,11,2023,crystallized_then_declined,2022,29,"arxiv.org/abs/2103.15871, arxiv.org/abs/2108.13048"
,,map@50,2018-04-08,2024,46,,persisted,2025,63,"arxiv.org/abs/2404.01501, arxiv.org/abs/2407.12040"
,,task plan,2013-06-05,2023,15,,persisted,2025,30,"arxiv.org/abs/2309.07918, arxiv.org/abs/2304.10464"
,,layer depth,2017-02-28,2022,10,,persisted,2025,42,"arxiv.org/abs/2203.15331, arxiv.org/abs/2204.12656"
